idx,transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method,transaction_status,merchant_id,device_type,location,anomaly_label_x,anomaly_label_y,net_spending,fee_ratio,cashback_ratio,points_per_dollar,hour,weekday,is_weekend,day_part,transactions_per_user,avg_spent_per_user,merchant_transaction_count
42,5c807c66-52ec-419c-aa5b-4daeec5a79cb,USER_03325,2023-08-20 22:20:00,Insurance Premium,Travel Insurance,Max Life,3855.29,23.46,73.61,117,UPI,Successful,MERCH_0191,iOS,Urban,normal,normal,3781.68,0.006085145345745716,0.019093245903680396,0.03034791157085459,22,6,1,Evening,1,3855.29,8
43,f4f1bf20-5851-4c25-a324-a5a948ecbbaa,USER_03528,2023-08-20 23:10:00,Mobile Recharge,Postpaid Plan 599,Airtel,1446.76,6.15,75.16,684,Debit Card,Successful,MERCH_0585,iOS,Suburban,normal,normal,1371.6,0.004250877823550554,0.05195056540131051,0.4727805579363543,23,6,1,Evening,1,1446.76,6
44,6723ec06-5f83-4995-ad8f-aa055d8e317d,USER_01473,2023-08-21 00:57:00,Gas Bill,Piped Natural Gas,Bharat Gas,3090.15,20.3,32.99,714,Debit Card,Successful,MERCH_0212,Android,Urban,normal,normal,3057.1600000000003,0.006569260391890362,0.010675857159037587,0.2310567448182127,0,0,0,Night,1,3090.15,6
45,0a446f41-9c5a-4616-a6a8-ad692ed9d8a4,USER_03895,2023-08-21 01:16:00,Water Bill,Tanker Supply,Hyderabad Water Board,1203.62,32.45,73.95,961,Debit Card,Successful,MERCH_0336,Web,Urban,normal,normal,1129.6699999999998,0.026960336318771712,0.06143965703461226,0.798424751998139,1,0,0,Night,2,4777.01,5
46,bbc20141-064b-4592-8deb-72212b113fd4,USER_00326,2023-08-21 03:53:00,Grocery Shopping,Dairy Milk Chocolate,Amazon Pantry,372.6,6.61,67.38,379,UPI,Successful,MERCH_0078,Android,Suburban,normal,normal,305.22,0.01774020397208803,0.18083735909822865,1.0171765968867417,3,0,0,Night,2,3486.11,4
47,64fb3179-c2e8-41e0-88f5-51ec4bfe8a3d,USER_06052,2023-08-21 04:27:00,Movie Ticket,3 Idiots,INOX,7393.64,33.05,80.36,415,Bank Transfer,Successful,MERCH_0901,Android,Rural,normal,normal,7313.280000000001,0.004470058049891527,0.010868800753079673,0.056129321957790745,4,0,0,Night,2,4022.46,9
48,8dd4359a-0f15-41d0-bee9-dbaeb54e62e7,USER_03700,2023-08-21 04:58:00,Water Bill,Commercial Property,Bangalore Water Supply,6326.46,8.23,64.76,909,UPI,Successful,MERCH_0125,iOS,Suburban,normal,normal,6261.7,0.0013008854873025357,0.010236372315639395,0.14368224884058384,4,0,0,Night,1,6326.46,3
49,569dcf7a-9e65-4271-9484-7acdc0f1118b,USER_07984,2023-08-21 05:28:00,Loan Repayment,Education Loan EMI,HDFC Bank,1044.85,3.6,95.47,769,Debit Card,Successful,MERCH_0797,Android,Urban,normal,normal,949.3799999999999,0.0034454706417189076,0.09137196726802892,0.7359908120782888,5,0,0,Night,2,2181.6499999999996,5
50,09c210a8-42b4-40e2-aea3-9d8496c372a0,USER_04870,2023-08-21 05:49:00,Taxi Fare,Rental Package,Uber,408.34,9.82,99.57,153,Credit Card,Successful,MERCH_0319,Android,Suburban,normal,normal,308.77,0.024048586961845524,0.24384091688298967,0.3746877601998335,5,0,0,Night,1,408.34,4
51,17ea2a26-9889-4de2-8741-cbed99695971,USER_04742,2023-08-21 07:53:00,Rent Payment,Co-working Space,OYO Life,8783.03,47.7,51.8,373,Bank Transfer,Successful,MERCH_0322,iOS,Rural,normal,normal,8731.230000000001,0.0054309275956019734,0.005897736885789983,0.04246825981466532,7,0,0,Morning,2,7804.1050000000005,4
52,8c0d75ff-a01b-48ac-aa8f-fd82cf56f061,USER_08741,2023-08-21 15:14:00,Mobile Recharge,Postpaid Plan 599,Idea,9654.79,30.42,44.61,602,Debit Card,Successful,MERCH_0459,Android,Rural,normal,normal,9610.18,0.003150767650047282,0.0046205044335506,0.06235246960317106,15,0,0,Afternoon,1,9654.79,10
53,55c48f2a-777c-4a79-b98f-ee1fc6c10cf5,USER_07974,2023-08-21 16:33:00,Grocery Shopping,Dairy Milk Chocolate,Flipkart Supermart,4910.93,40.94,48.52,804,Credit Card,Successful,MERCH_0441,Android,Suburban,normal,normal,4862.41,0.00833650652727691,0.009880002362078059,0.16371644474671804,16,0,0,Afternoon,2,6033.6900000000005,3
54,877c0fc1-f7f6-4f54-b828-901899ee9f65,USER_05484,2023-08-21 17:00:00,Food Delivery,Pizza Margherita,Uber Eats,7012.4,40.47,47.37,872,Wallet Balance,Successful,MERCH_0149,Android,Urban,normal,normal,6965.03,0.005771205293480121,0.006755176544407051,0.12435114939250472,17,0,0,Afternoon,1,7012.4,8
55,9b4312a2-70fb-41bc-b657-669f173027d9,USER_07662,2023-08-21 17:24:00,Gas Bill,Piped Natural Gas,Mahanagar Gas,6464.24,1.28,81.33,281,Debit Card,Successful,MERCH_0284,Web,Urban,normal,normal,6382.91,0.00019801245003279582,0.01258152543841194,0.04346992067126221,17,0,0,Afternoon,1,6464.24,5
56,20ca6543-cc63-4d1d-bab5-5cbcdf2f7bc4,USER_01404,2023-08-21 19:32:00,Loan Repayment,Home Loan EMI,ICICI Bank,9828.97,21.55,50.04,414,UPI,Successful,MERCH_0390,Android,Urban,normal,normal,9778.929999999998,0.0021924982983974927,0.005091072614933203,0.04212038494369197,19,0,0,Evening,2,9681.33,8
57,866c66b0-7e40-4db9-8e6a-d719974e4a7a,USER_06644,2023-08-21 19:43:00,Taxi Fare,Airport Transfer,Rapido,4849.13,46.72,88.66,859,Bank Transfer,Successful,MERCH_0591,iOS,Urban,normal,normal,4760.47,0.00963471798033874,0.018283692126216455,0.1771451786196699,19,0,0,Evening,2,3333.9700000000003,5
58,783022a5-7e76-4bb8-9fb0-586b7d59172c,USER_03963,2023-08-21 21:05:00,Taxi Fare,Outstation Trip,Rapido,7078.24,29.32,92.22,533,Bank Transfer,Successful,MERCH_0619,Android,Urban,normal,normal,6986.0199999999995,0.004142272655349353,0.013028662492370986,0.07530120481927711,21,0,0,Evening,1,7078.24,7
59,3044006d-778b-4cfa-8003-426759e482f9,USER_02160,2023-08-22 02:57:00,Streaming Service,Family Subscription,Netflix,748.75,21.57,34.34,344,Debit Card,Successful,MERCH_0285,Android,Urban,normal,normal,714.41,0.028808013355592656,0.04586310517529216,0.459432387312187,2,1,0,Night,2,4961.28,6
60,c64c9431-0700-4c10-922c-8d412684acd2,USER_00509,2023-08-22 05:04:00,Internet Bill,Business Internet Plan,BSNL Broadband,615.89,11.53,21.79,777,UPI,Successful,MERCH_0302,Android,Urban,normal,normal,594.1,0.01872087548101122,0.035379694425952686,1.2615889200993684,5,1,0,Night,1,615.89,6
61,5aca1931-8a08-4f72-9b91-c3f627f9b647,USER_05421,2023-08-22 10:37:00,Taxi Fare,Outstation Trip,Rapido,96.7,39.0,72.11,115,Wallet Balance,Successful,MERCH_0829,Android,Urban,normal,normal,24.590000000000003,0.40330920372285417,0.7457083764219234,1.189245087900724,10,1,0,Morning,1,96.7,7
62,a9356e2d-5f4e-487e-b812-6010c743745f,USER_00536,2023-08-22 10:47:00,Gaming Credits,1000 Game Coins,Minecraft,8716.7,49.55,11.57,397,Wallet Balance,Successful,MERCH_0119,Android,Urban,normal,normal,8705.130000000001,0.005684490690284166,0.0013273371803549509,0.045544758911055784,10,1,0,Morning,1,8716.7,9
63,c6dbd684-88f7-4ecc-bd22-c674dbfb13d9,USER_03732,2023-08-22 13:11:00,Online Shopping,Smart LED TV,Myntra,3771.14,39.58,91.57,547,UPI,Successful,MERCH_0480,Android,Urban,normal,normal,3679.5699999999997,0.010495500034472334,0.02428178216666578,0.14504897723234883,13,1,0,Afternoon,2,2105.7599999999998,8
64,6d684943-0472-4f24-af22-afd72dbe8f0e,USER_00058,2023-08-22 15:49:00,Grocery Shopping,Whole Wheat Atta,Flipkart Supermart,6031.6,22.93,31.89,207,UPI,Successful,MERCH_0624,Android,Urban,normal,normal,5999.71,0.0038016446713973074,0.0052871543205782875,0.0343192519397838,15,1,0,Afternoon,1,6031.6,5
65,d3495957-02c3-41ed-b415-820289947cf6,USER_01431,2023-08-22 16:21:00,Electricity Bill,Residential Bill,Reliance Energy,8108.09,13.2,36.14,867,Wallet Balance,Successful,MERCH_0601,Android,Urban,normal,normal,8071.95,0.0016280036358747867,0.0044572766212511205,0.10693023881086668,16,1,0,Afternoon,1,8108.09,9
66,5aa196df-d98e-434e-a144-0683843d614c,USER_01569,2023-08-22 20:00:00,Water Bill,Industrial Use,Chennai Metro Water,3424.46,27.19,3.46,831,UPI,Successful,MERCH_0437,Web,Suburban,normal,normal,3421.0,0.007939937975622435,0.0010103782786191108,0.2426659969747055,20,1,0,Evening,1,3424.46,7
67,373e20b9-82d4-4168-ba6a-c5835c6d4bfa,USER_09093,2023-08-22 20:38:00,Internet Bill,4G Unlimited Plan,Hathway,2896.65,18.2,80.13,808,Debit Card,Successful,MERCH_0681,iOS,Urban,normal,normal,2816.52,0.006283120156042325,0.027662990005696234,0.2789429168177032,20,1,0,Evening,3,5326.796666666666,2
68,8201b4a9-ba83-47eb-a947-677ddd79f1e7,USER_08679,2023-08-22 22:04:00,Gas Bill,Auto LPG,Mahanagar Gas,9067.49,16.75,51.84,719,Debit Card,Successful,MERCH_0819,Android,Suburban,normal,normal,9015.65,0.0018472587231968274,0.005717127893165585,0.07929426996886679,22,1,0,Evening,1,9067.49,5
69,6ea4a826-e48a-47e8-bbe4-0d61d35a6802,USER_03820,2023-08-22 22:29:00,Streaming Service,Standard Plan,Amazon Prime,1188.69,32.07,46.51,490,UPI,Successful,MERCH_0513,Android,Suburban,normal,normal,1142.18,0.0269792797112788,0.03912710631030798,0.41221849262633653,22,1,0,Evening,1,1188.69,6
70,23b2fcb6-19ed-4fe8-837b-0c77ebd9644b,USER_03468,2023-08-22 23:43:00,Rent Payment,1BHK Apartment Rent,Housing.com,2938.73,12.92,46.18,481,Bank Transfer,Successful,MERCH_0544,iOS,Suburban,normal,normal,2892.55,0.004396456972910067,0.01571427113072654,0.16367614581809148,23,1,0,Evening,1,2938.73,5
71,10b08a73-c807-4140-8d70-e64e046f933e,USER_02224,2023-08-23 00:17:00,Mobile Recharge,Postpaid Plan 599,Vodafone,2189.95,14.73,89.05,803,UPI,Successful,MERCH_0152,Android,Urban,normal,normal,2100.8999999999996,0.006726180963035687,0.0406630288362748,0.3666750382428823,0,2,0,Night,2,3231.52,4
72,bfa9798a-6936-458d-aa21-ce248ba57ab6,USER_04519,2023-08-23 00:40:00,Gift Card,Rs. 1000 Shopping Voucher,Amazon Pay,4691.67,38.55,80.81,981,Debit Card,Successful,MERCH_0005,Android,Suburban,normal,normal,4610.86,0.008216690432191521,0.017224144068103683,0.209093989986508,0,2,0,Night,1,4691.67,12
73,93778797-e651-416b-8b06-88e71120a455,USER_00916,2023-08-23 02:01:00,Food Delivery,Vegetable Biryani,Foodpanda,857.92,41.42,44.5,43,Credit Card,Successful,MERCH_0049,Android,Urban,normal,normal,813.42,0.04827955986572175,0.05186963819470347,0.05012122342409549,2,2,0,Night,2,3688.0950000000003,4
74,666d31da-1bce-435c-b3e9-ac338a4bbe63,USER_06348,2023-08-23 03:27:00,Online Shopping,Fitness Tracker,Nykaa,8391.75,31.98,99.29,514,Bank Transfer,Successful,MERCH_0211,Android,Urban,normal,normal,8292.46,0.0038108856913039594,0.011831858670718266,0.061250633062233745,3,2,0,Night,1,8391.75,6
75,c3ffd155-2581-44be-8e4b-f5d78397e35e,USER_01868,2023-08-23 03:31:00,Water Bill,Commercial Property,Mumbai Water,9128.09,9.06,47.54,337,Debit Card,Successful,MERCH_0822,Web,Urban,normal,normal,9080.55,0.0009925406081666593,0.005208099394287304,0.03691900496160752,3,2,0,Night,1,9128.09,5
76,5bfa32c5-0dfd-4a7f-98a0-41f75b4c5ac2,USER_00724,2023-08-23 05:31:00,Movie Ticket,3 Idiots,SPI Cinemas,3426.77,10.67,39.77,739,Debit Card,Successful,MERCH_0526,Android,Urban,normal,normal,3387.0,0.003113719333366406,0.011605681151638424,0.21565497538498352,5,2,0,Night,2,5779.65,5
77,2a9477e4-7a41-41ef-ba5e-16d12b696609,USER_09458,2023-08-23 08:40:00,Streaming Service,Standard Plan,Hotstar,8125.43,31.15,75.32,916,Bank Transfer,Successful,MERCH_0255,Android,Rural,normal,normal,8050.110000000001,0.00383364326564871,0.009269663267051712,0.1127324953879364,8,2,0,Morning,2,8454.355,10
78,cc0ba380-73e8-4340-ad85-3d50bd9ccb5f,USER_06794,2023-08-23 10:11:00,Movie Ticket,Baahubali 2,Cinepolis,6496.05,10.27,1.54,117,Bank Transfer,Successful,MERCH_0717,Web,Urban,normal,normal,6494.51,0.001580960737679051,0.00023706714080094828,0.018010945112799315,10,2,0,Morning,2,5901.125,6
79,937ea2bc-4d8d-4d1d-a9fd-4945d33e7cfc,USER_01317,2023-08-23 13:08:00,Movie Ticket,Baahubali 2,Cinepolis,1422.16,2.7,23.37,745,Debit Card,Successful,MERCH_0188,Web,Urban,normal,normal,1398.7900000000002,0.001898520560274512,0.016432750182820498,0.5238510434831524,13,2,0,Afternoon,1,1422.16,7
